Ticker,Company Name,3/31/1979,6/30/1979,9/30/1979,12/31/1979,3/31/1980,6/30/1980,9/30/1980,12/31/1980,3/31/1981,6/30/1981,9/30/1981,12/31/1981,3/31/1982,6/30/1982,9/30/1982,12/31/1982,3/31/1983,6/30/1983,9/30/1983,12/31/1983,3/31/1984,6/30/1984,9/30/1984,12/31/1984,3/31/1985,6/30/1985,9/30/1985,12/31/1985,3/31/1986,6/30/1986,9/30/1986,12/31/1986,3/31/1987,6/30/1987,9/30/1987,12/31/1987,3/31/1988,6/30/1988,9/30/1988,12/31/1988,3/31/1989,6/30/1989,9/30/1989,12/31/1989,3/31/1990,6/30/1990,9/30/1990,12/31/1990,3/31/1991,6/30/1991,9/30/1991,12/31/1991,3/31/1992,6/30/1992,9/30/1992,12/31/1992,3/31/1993,6/30/1993,9/30/1993,12/31/1993,3/31/1994,6/30/1994,9/30/1994,12/31/1994,3/31/1995,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018
AN (Amoco),Amoco Corp.,"8,663.00","9,613.31","10,861.30","11,768.50","14,748.02","16,726.33","19,491.61","23,353.88","21,518.55","15,970.74","15,459.89","15,354.14","10,660.04","11,795.40","11,829.89","11,614.31","12,714.62","15,047.48","14,327.70","14,829.45","16,242.74","16,347.81","16,599.42","14,353.17","16,419.65","16,797.51","17,097.60","16,010.03","15,105.73","15,508.05","16,610.32","16,684.49","20,305.79","22,389.50","21,022.42","17,776.75","18,893.00","18,714.28","19,023.59","19,389.98","21,260.38","22,820.99","25,066.67","27,944.77","27,254.24","26,020.77","28,678.44","26,292.87","26,247.17","25,224.57","25,304.20","24,384.94","21,276.41","23,685.86","26,173.28","24,194.77","28,559.45","27,267.29","28,696.90","26,249.68","26,314.77","28,254.00","29,440.73","29,351.72","31,590.07","32,710.73","31,857.80","35,492.81","35,896.83","35,858.49","35,056.48","40,095.28","42,809.25","42,671.46","46,930.99","41,119.83","41,446.33","40,064.47","51,412.08","57,164.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDW,Andrew Corp.,,,,,,,,,,,,,,,,,,,,,,,,355.75,225.47,205.43,140.71,190.97,218.61,178.41,138.57,163.77,176.37,153.69,159.12,131.23,146.08,168.37,164.41,199.28,194.30,216.72,237.83,244.93,242.43,189.94,173.25,206.60,292.03,299.79,303.40,325.52,266.76,274.06,285.71,404.82,383.18,462.62,646.61,647.61,817.41,925.81,"1,280.57","1,337.44","1,569.98","2,248.70","2,384.38","1,493.05","2,299.02","3,242.85","3,014.35","3,215.75","3,291.01","2,537.55","2,348.12","2,121.58","1,754.08","1,598.27","1,140.88","1,367.49","1,019.79","1,558.61","1,426.01","1,524.86","1,842.89","2,706.51","2,125.29","1,767.47","1,168.56","1,501.74","1,479.78","1,787.76","1,367.73","1,219.75",642.44,"1,010.72",540.82,918.40,"1,854.99","1,835.44","2,779.25","3,214.75","1,968.18","2,194.06","2,102.31","1,948.08","1,885.29","1,975.45","2,147.54","2,072.81","1,785.28","1,873.08","1,811.35","1,725.25","1,770.66","1,712.48","2,069.97","2,160.61","1,956.66","1,685.79","1,615.45","1,414.58","1,349.12","1,476.86","1,476.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,Abercrombie & Fitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,682.54","7,160.85","7,253.61","6,426.98","6,155.74","6,948.58","6,994.27","6,864.26","7,059.54","6,889.66","6,856.92","6,679.67","6,303.21","6,404.04","6,275.76","5,447.71","4,799.34","4,563.10","3,433.65","2,520.62","1,682.44","2,008.31","1,553.90","1,914.34","2,090.50","2,376.87","2,644.83","2,231.20","2,512.40","2,837.55","2,891.96","2,886.68","3,512.04","3,066.21","2,774.98","3,204.41","4,024.12","3,855.72","3,160.10","2,707.13","3,258.44","3,053.31","3,471.05","3,783.55","4,435.92","5,062.56","4,415.71","5,025.38","5,120.34","6,208.81","6,652.45","5,866.68","6,410.21","5,531.91","5,352.03","6,468.34","4,175.74","4,198.34","3,949.05","3,921.36","4,203.16","4,250.60","2,845.60","2,818.36","2,790.29","2,971.59","2,800.88","2,525.08","3,789.27","3,816.64","3,978.15","3,658.36","3,624.62","3,873.96","3,921.56","3,545.20","3,907.16","2,766.43","2,702.02","2,863.21","2,618.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANR,Alpha Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,294.30","9,675.82","7,487.97","4,005.51","5,443.33","5,275.34","4,490.64","4,422.50","4,079.60","3,346.49","3,552.71","2,308.51","1,918.62","1,544.15","1,308.90","1,447.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANR (Ame),American Natural Resource Co,923.74,941.61,"1,011.74","1,084.67","1,007.20",970.70,990.25,"1,145.21","1,020.25","1,000.09",856.80,989.39,750.76,706.21,754.28,807.89,832.37,955.42,"1,037.15","1,695.72","1,215.82","1,061.80","1,383.80","1,482.08","2,436.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTM,Anthem Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,207.64","8,896.95","9,175.63","10,666.99","9,887.76","10,371.08","12,521.73","12,415.43","12,181.06","34,546.00","36,498.60","36,666.82","38,230.00","39,132.89","40,739.23","42,662.86","43,407.34","45,561.14","46,524.52","46,017.82","47,342.65","52,661.32","50,687.92","50,681.32","50,871.97","45,257.46","45,627.17","46,385.71","46,174.80","47,978.41","47,755.28","47,320.00","46,916.99","48,789.45","48,597.25","48,620.66","49,667.91","48,460.34","49,957.65","48,988.08","45,088.45","48,371.65","47,369.28","45,266.40","48,111.62","50,122.69","44,677.93","37,979.16","23,915.81","26,177.31","29,371.20","25,077.60","26,819.47","26,993.32","23,915.09","19,786.38","18,121.82","21,445.86","21,099.71","16,905.32","18,923.79","20,723.16","22,569.64","24,663.28","25,007.00","25,106.76","22,498.70","21,432.26","24,764.43","26,716.99","29,205.81","27,466.01","28,580.28","22,982.66","21,914.69","20,902.26","20,274.81","19,851.09","22,641.27","21,721.87","21,939.82","22,380.66","24,451.05","24,960.22","25,870.73","28,194.45","28,701.13","28,921.43","24,362.58","22,829.78","23,543.88","23,967.62","24,541.59","23,045.79","22,374.42","21,969.58","24,704.48","22,436.89","22,294.63","21,103.65","17,329.22","19,468.95","18,864.10","19,933.96","16,974.31","18,498.66","19,682.92","18,904.90","20,136.24","21,902.47","23,118.94","24,581.71","25,579.02","25,453.45","24,996.05","25,051.36","27,438.33","27,293.58","25,405.86","25,587.96","28,118.79","28,354.71","30,305.26","30,095.50","30,115.06","31,952.52","32,585.80","34,198.83","34,528.15","33,923.49","36,431.24","39,070.96","41,194.58","39,926.42","44,402.37","43,420.94","40,355.03","36,896.85","36,622.18","36,327.89","34,038.31","36,403.60","34,067.02","34,156.09","36,325.31","37,015.89","34,751.87","34,536.25","34,564.88","32,917.43","32,977.96","32,070.02","37,547.39","37,874.05","40,605.87","43,419.36","43,838.10","47,154.19","48,336.43","49,496.25","48,991.11","51,577.34","48,876.06","53,851.70","60,479.88","57,621.69","63,470.67","60,277.29","56,143.24","60,306.06","56,582.77","61,919.46","65,813.65","68,865.01","71,289.45"
ANV,Aeroquip-Vickers Inc.,278.49,309.02,313.15,268.81,225.93,243.89,270.28,253.74,316.07,300.98,305.11,257.96,251.10,252.43,269.08,332.91,374.52,404.08,457.64,431.57,470.81,507.02,536.93,507.28,517.57,518.03,644.80,681.13,"1,041.51",731.83,"1,006.26",712.56,"1,106.46","1,190.98","1,431.12","1,088.48","1,075.85","1,020.52",909.52,939.29,918.60,893.20,970.17,807.86,866.26,833.82,462.23,515.00,634.97,719.66,592.66,557.46,656.32,642.26,639.00,603.73,748.84,889.75,762.61,891.38,995.30,995.68,"1,004.33",846.03,882.54,"1,008.74",978.55,825.26,911.83,950.09,887.54,"1,015.44",937.70,"1,324.98","1,383.27","1,376.87","1,630.25","1,646.43",811.81,830.27,"1,583.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,Aon plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,476.23","5,873.70","6,890.22","6,814.43","8,653.27","8,846.65","9,849.84","10,920.15","11,847.73","10,891.28","9,418.92","10,802.72","10,566.35","7,575.22","10,265.36","8,270.61","7,947.07","10,009.14","8,772.76","9,277.53","9,165.14","11,192.41","9,562.62","9,500.09","8,018.83","5,588.81","5,855.90","6,442.19","7,517.22","6,522.90","7,507.78","8,783.84","8,971.18","9,077.36","7,550.62","7,196.19","7,756.31","7,250.90","6,624.57","7,923.15","7,958.11","8,085.24","9,530.18","10,218.19","10,781.97","11,651.71","11,504.50","10,950.88","12,675.75","13,364.39","13,424.57","11,360.09","11,095.60","10,907.59","10,871.26","10,651.13","10,940.45","11,049.24","10,943.95","11,104.98","11,656.20","11,326.35","11,390.14","12,601.78","12,510.76","11,756.18","12,683.06","13,119.29","13,268.61","14,579.15","13,913.94","12,641.87","12,712.90","12,282.11","13,578.28","14,096.88","13,723.47","13,681.65","13,186.55","12,484.04","11,745.44","12,221.12","12,323.64","9,995.42","10,316.46","11,165.82","11,665.43","9,964.91","10,482.53","10,919.88","11,462.37","11,168.67","10,570.30","10,609.04","10,502.21","10,655.60","11,214.41","11,397.25","11,430.40","10,633.97","10,000.83","10,159.79","9,804.55","10,581.01","13,114.12","13,236.19","15,179.39","15,090.31","17,533.75","17,640.34","17,242.45","17,237.71","16,956.75","15,905.63","15,266.32","13,714.53","15,230.38","14,861.60","15,129.93","15,656.89","15,221.63","15,953.28","16,908.76","15,178.72","15,270.11","16,060.06","16,752.27","16,858.66","17,393.86","18,100.29","17,721.07","18,399.83","19,034.06","19,161.80","18,655.03","19,682.05","19,892.26","20,753.62","20,409.26","22,887.40","23,809.89","24,577.56","25,254.92","24,222.32","25,774.16","25,376.71","25,166.50","26,666.76","26,711.23","24,502.62","25,315.88","25,464.01","24,978.96","26,372.32","27,039.54","25,676.59","28,125.99","26,937.73","27,121.66","28,517.12","28,083.25","28,390.34","26,167.22","24,814.61","26,130.81","25,950.90","25,257.89","24,058.13","25,736.11","28,210.06","28,391.02","28,948.03","28,937.43","28,365.20","29,574.56","29,877.34","29,158.71","30,019.03","29,342.87","29,650.69","30,426.82","31,191.73","31,493.95","34,403.15","33,995.32","35,330.07","35,583.21","36,641.88","35,972.24","35,167.18","33,178.40","35,201.29","34,743.23","34,408.92","34,933.64","34,296.12","33,332.31","34,882.65","35,371.08","37,368.54"
APA,Apache Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,878.20","3,271.27","3,623.48","3,105.84","2,643.60","2,474.23","2,548.51","4,319.52","4,918.09","4,214.23","5,675.63","6,687.64","7,221.96","8,556.92","7,127.91","6,364.41","5,374.14","6,838.10","7,812.98","7,898.44","8,548.85","8,204.68","9,498.70","10,513.83","11,219.00","13,141.28","14,036.86","14,163.72","16,335.96","16,509.64","17,820.26","20,590.56","20,089.32","18,468.52","19,284.39","21,201.01","22,448.13","23,552.02","24,735.87","21,018.84","21,496.31","22,563.22","24,871.58","22,091.70","21,638.48","23,465.08","21,432.39","22,545.64","23,278.99","21,492.79","20,807.97","21,517.26","23,035.85","21,909.26","24,037.27","22,642.26","23,398.73","24,009.10","26,741.17","27,019.34","26,839.45","25,690.70","29,900.55","34,532.09","32,196.90","35,772.86","31,721.22","38,190.06","40,231.97","44,867.03","44,720.94","46,368.87","37,418.68","38,254.51","34,876.55","27,553.38","25,869.99","24,942.96","25,100.25","19,778.01","21,461.05","24,397.75","28,242.77","24,183.67","28,185.96","28,521.71","30,831.65","31,640.70","32,030.66","34,683.07","33,203.91","34,868.33","34,159.83","34,306.04","30,198.98","28,394.59","34,485.46","32,730.47","35,611.92","36,799.46","39,244.58","43,470.18","43,517.58","47,604.84","50,109.89","51,060.84","47,777.50","47,313.53","47,440.06","39,571.46","30,806.38","38,250.75","38,190.83","34,788.06","37,975.75","41,479.87","38,601.30","36,884.13","31,805.99","34,350.31","33,658.54","33,546.69","33,828.36","32,361.30","30,164.08","30,715.79","32,773.95","29,113.84","30,228.12","28,948.77","32,183.13","32,849.29","31,446.44","33,365.76","33,155.47","34,580.76","36,526.10","34,310.34","32,042.68","31,398.84","32,742.44","34,180.10","35,955.42","38,809.64","39,596.48","38,947.23","35,902.74","29,526.92","24,128.73","23,594.13","23,556.48","24,821.68","22,733.73","25,776.95","22,565.36","21,731.98","17,293.58","17,100.13","14,801.97","17,814.53","18,590.73","16,810.28","16,080.72","14,481.25","18,475.22","20,591.11","21,629.43","21,072.99","19,873.04","18,857.32","24,233.75","22,568.08","25,023.34","24,082.36","22,697.44","19,954.17","19,550.55","18,504.36","17,789.14","18,257.88","18,848.32","14,795.24","17,446.96","15,759.41","15,934.64","16,083.92","17,093.45","13,009.61","14,705.02","15,648.92","15,285.88","17,879.96","17,593.11","16,763.18","18,231.82"
APC,Anadarko Petroleum Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,298.04","3,634.48","4,204.93","4,032.41","4,720.46","3,715.67","4,530.00","4,659.26","3,893.92","4,352.22","4,954.18","6,327.61","16,155.23","17,683.64","15,790.36","13,511.36","12,056.78","14,141.89","13,999.77","12,242.13","11,068.81","11,908.99","11,326.09","11,093.75","10,420.50","12,798.31","13,120.63","14,759.76","16,604.13","16,029.91","16,376.18","19,010.32","18,025.12","17,300.33","17,843.32","19,363.66","20,825.07","21,476.58","22,629.94","21,438.76","21,304.68","22,278.09","25,351.18","23,315.00","23,618.46","24,509.33","22,774.79","21,866.91","20,972.80","21,553.64","20,139.89","21,329.99","22,693.01","20,008.10","20,113.84","18,523.13","20,119.15","21,841.78","23,033.93","24,119.51","23,349.40","22,811.75","25,033.31","27,487.74","26,395.86","30,635.06","27,272.62","29,834.46","29,502.14","31,841.44","35,095.18","35,034.33","27,109.00","28,918.84","22,725.63","16,537.10","18,843.59","17,695.99","16,865.13","16,072.84","18,241.98","20,197.98","23,851.39","22,658.32","24,061.05","25,934.11","30,770.70","29,887.75","29,259.65","30,680.12","31,348.57","34,543.37","36,477.27","31,133.15","25,889.95","17,855.31","24,321.62","22,761.78","28,235.70","30,472.78","31,797.18","37,744.29","38,200.23","40,608.79","41,217.64","39,718.27","39,562.87","38,189.71","41,099.11","36,713.41","31,386.86","39,078.01","40,470.18","38,010.20","40,196.30","41,927.76","39,608.16","37,014.46","30,473.59","33,071.34","34,689.93","34,612.76","34,937.56","34,388.42","36,577.36","37,137.09","39,990.72","39,835.04","44,441.92","43,074.86","43,863.93","43,091.66","44,499.54","45,957.38","46,746.63","47,902.85","44,700.17","39,919.14","40,608.61","42,354.95","43,403.65","50,705.86","51,949.85","55,288.26","54,062.15","57,016.97","51,324.89","46,481.98","40,085.52","41,782.13","41,402.29","42,675.13","42,686.65","48,506.39","42,468.53","39,649.48","37,770.69","36,363.50","30,678.84","33,984.60","30,437.77","24,685.59","19,863.31","19,295.26","24,029.42","27,223.37","26,470.74","27,180.24","27,835.22","27,294.14","35,412.22","33,221.31","38,648.00","38,972.17","38,860.39","36,132.95","34,217.80","31,469.34","27,887.51","25,050.35","25,232.68","22,613.83","26,994.51","27,281.86","26,574.53","28,472.11","31,874.54","30,373.06","30,440.60","33,922.55","35,172.22","36,742.20","36,692.04","32,303.04","33,812.86"
APC (Alpha),Alpha Portland Inds Inc,30.85,30.99,35.15,26.19,21.84,27.08,29.49,25.56,23.58,24.35,15.72,20.96,17.03,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APCC,American Power Conversion Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,910.61","3,733.49","2,410.93","2,510.25","3,071.85","2,281.75","2,827.38","2,889.95","2,474.97","1,874.10","2,971.08","2,792.62","3,068.82","3,412.65","4,864.52","4,596.28","3,933.64","3,484.76","4,093.09","4,068.23","4,211.68","5,035.00","4,679.97","4,909.61","4,550.79","5,422.76","5,085.72","5,035.19","4,154.86","4,376.92","4,296.84","4,628.87","3,984.34","4,529.63","4,359.11","3,793.75","3,757.13","3,253.99","3,346.75","4,182.96","5,741.89","5,872.21","5,969.36","5,998.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Air Products & Chemicals Inc,,,,,,,,,,,,,,,,,,,,,,,,,,"1,661.72","1,543.82","1,894.08","2,361.08","2,015.72","1,883.37","1,978.06","2,513.52","2,631.77","2,719.06","2,229.51","2,461.98","2,779.99","2,297.29","2,264.25","2,355.14","2,205.46","2,520.18","2,658.62","2,897.42","3,142.70","2,499.82","3,062.17","3,795.69","3,782.04","3,772.71","4,175.70","4,798.26","4,815.51","5,031.18","5,329.13","5,034.13","4,478.54","4,423.39","5,056.71","5,048.37","4,798.01","5,301.87","4,982.31","5,830.84","6,230.40","5,822.03","5,899.14","6,120.20","6,427.53","6,437.50","7,606.17","8,123.95","9,717.42","9,111.12","9,679.59","9,706.24","9,368.96","6,885.34","9,172.16","7,853.70","9,229.53","6,707.17","7,695.48","6,521.43","7,064.89","8,254.98","9,401.51","8,796.67","10,419.61","8,770.20","10,657.95","11,735.03","11,466.94","9,545.47","9,713.66","9,413.97","9,454.10","10,249.61","12,006.46","11,391.07","11,921.47","12,360.14","13,177.16","13,390.83","14,252.25","14,404.74","13,465.38","13,809.29","13,825.34","13,701.53","12,281.96","12,224.32","12,689.88","13,142.07","13,155.75","13,711.40","14,283.68","14,958.24","15,254.33","14,537.75","14,329.27","14,086.27","14,606.27","14,623.90","15,351.02","15,234.24","15,246.33","16,160.01","16,192.47","16,008.49","16,570.74","16,893.49","17,409.03","18,664.38","19,450.98","21,125.74","21,145.19","21,331.93","21,167.67","19,229.55","19,585.54","19,729.22","20,735.56","21,470.77","20,826.14","20,169.10","19,457.32","14,508.78","12,314.14","10,008.92","10,535.84","10,545.55","9,696.45","11,792.98","13,827.73","13,592.72","13,552.86","15,672.12","15,762.45","16,298.16","16,203.62","17,556.78","17,160.89","16,115.07","14,549.38","15,688.64","16,304.46","14,665.10","13,762.60","15,425.86","15,734.04","17,602.23","18,059.18","18,474.79","19,504.50","18,751.77","19,772.64","19,381.49","20,240.40","20,149.29","20,253.12","18,911.29","17,449.20","16,276.97","18,359.28","17,626.36","17,934.37","18,539.56","19,005.00","19,333.54","18,075.32","16,711.59","17,068.91","17,027.51","17,482.68","17,508.09","16,413.57","17,653.78","17,537.58","18,152.65","17,926.34","18,088.29","18,116.46","19,668.53","19,076.87","22,775.94","21,413.24","22,341.97","22,853.51","22,993.17","23,639.79","22,255.30","25,680.17","25,197.55","24,946.56","25,466.63","27,302.81","28,107.46","28,375.86","27,730.42","28,684.73","30,738.05","30,868.39","31,200.44","33,456.74","32,415.37","30,733.32","31,518.91","29,386.29","30,637.08","29,996.44","27,427.40","29,878.20","29,489.80","28,037.40","27,325.01","28,567.16","31,064.38","31,524.06","30,821.79","30,692.15","32,356.90","33,699.51","32,556.13","28,892.10","31,409.94","31,271.36","30,388.58","30,542.95","29,456.02","30,590.36","31,365.46","31,180.99","30,982.64","31,684.47","33,018.28","34,810.90","35,599.13","35,923.51","36,862.76","35,203.20","34,858.42","35,572.99","35,380.10","34,147.23","35,997.88","36,462.74","36,629.39"
APH,Amphenol Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,096.91","5,065.43","4,081.61","4,215.20","4,596.65","4,351.57","4,877.12","5,791.85","5,719.34","5,419.58","5,712.49","5,992.81","6,459.07","6,880.46","7,065.68","7,919.73","6,832.44","7,215.15","7,308.70","8,009.07","7,358.60","6,817.12","7,775.13","7,074.00","8,508.95","8,708.73","8,735.84","9,216.02","9,712.17","10,087.74","9,569.05","9,668.57","9,522.94","9,510.61","8,612.22","7,982.75","6,927.56","8,069.41","7,512.95","7,522.89","9,021.17","9,140.06","9,762.35","9,440.72","8,617.47","8,897.75","9,539.33","9,799.28","9,478.91","9,680.15","9,928.38","10,374.13","10,834.31","11,316.20","11,921.46","12,052.09","12,450.13","12,456.53","12,511.78","12,059.40","12,315.65","12,778.80","13,453.89","14,115.50","13,751.45","13,924.76","14,499.03","14,979.87","15,053.82","15,138.67","15,111.96","16,192.45","15,697.29","15,901.64","16,596.61","16,652.31","16,621.37","17,513.67","18,279.85","17,190.95","17,624.00","17,908.21","17,426.29","16,186.94","15,754.13","16,761.95","16,969.77","16,100.47","15,280.50","16,347.58","17,810.76","17,172.58","18,081.47","17,653.45","18,327.82","19,236.65","20,042.43","20,354.24","21,056.71","20,729.72","20,819.18","21,349.76","21,735.32","22,083.47","22,782.84","22,529.86","23,384.42","24,702.89","25,815.20","26,535.00","27,629.95","26,840.46","28,359.79","27,937.92","26,019.87","25,288.79","26,261.55","26,118.86","28,024.95","28,345.63","28,177.79"
